2023-05-21 10:33:59 {'type': 'Interactive-Diagnostics'}  Running report Roll report sysproduction.reporting.roll_report.roll_report email {'instrument_code': 'ALL'}
2023-05-21 10:35:31 {'type': 'Interactive-Diagnostics'}  Running report Market monitor report sysproduction.reporting.market_monitor_report.market_monitor_report email {'start_date': arg not supplied, 'end_date': arg not supplied}
2023-05-30 20:01:23 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'SOYMEAL', 'contract_date': '20230900'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from SOYMEAL/20230900!
2023-05-30 20:01:23 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'SOYMEAL', 'contract_date': '20230900'} [Warning]  when getting trading hours from SOYMEAL/20230900!
2023-05-30 20:01:23 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'SOYMEAL', 'contract_date': '20230900'}  No IB expiry date found
2023-05-30 20:01:24 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EU-TECH', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from EU-TECH/20230600!
2023-05-30 20:01:24 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EU-TECH', 'contract_date': '20230600'} [Warning]  when getting trading hours from EU-TECH/20230600!
2023-05-30 20:01:24 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EU-TECH', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:24 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US-STAPLES', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from US-STAPLES/20230600!
2023-05-30 20:01:24 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US-STAPLES', 'contract_date': '20230600'} [Warning]  when getting trading hours from US-STAPLES/20230600!
2023-05-30 20:01:24 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US-STAPLES', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:25 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'NZD', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from NZD/20230600!
2023-05-30 20:01:25 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'NZD', 'contract_date': '20230600'} [Warning]  when getting trading hours from NZD/20230600!
2023-05-30 20:01:25 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'NZD', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:25 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'IRON', 'contract_date': '20230800'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from IRON/20230800!
2023-05-30 20:01:25 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'IRON', 'contract_date': '20230800'} [Warning]  when getting trading hours from IRON/20230800!
2023-05-30 20:01:25 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'IRON', 'contract_date': '20230800'}  No IB expiry date found
2023-05-30 20:01:26 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EURIBOR', 'contract_date': '20250300'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from EURIBOR/20250300!
2023-05-30 20:01:26 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EURIBOR', 'contract_date': '20250300'} [Warning]  when getting trading hours from EURIBOR/20250300!
2023-05-30 20:01:26 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EURIBOR', 'contract_date': '20250300'}  No IB expiry date found
2023-05-30 20:01:26 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EURCHF', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from EURCHF/20230600!
2023-05-30 20:01:26 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EURCHF', 'contract_date': '20230600'} [Warning]  when getting trading hours from EURCHF/20230600!
2023-05-30 20:01:26 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EURCHF', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:01:27 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'AEX_mini', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from AEX_mini/20230600!
2023-05-30 20:01:27 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'AEX_mini', 'contract_date': '20230600'} [Warning]  when getting trading hours from AEX_mini/20230600!
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'broker': 'IB', 'clientid': 8}  Terminating {'ipaddress': 'localhost', 'port': 4001, 'client': 8}
2023-05-30 20:01:12 {'type': 'Interactive-Diagnostics', 'component': 'mongoIbBrokerClientIdData'}  Locked IB client ID 8
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'mongoIbBrokerClientIdData'}  Released IB client ID 8
